0000000000001,1979
0000000000002,1972
0000000000003,2003
0000000000004,1999
0000000000005,1969
0000000000006,2007
0000000000007,1942
0000000000008,2001
0000000000009,2003
0000000000010,2003
0000000000011,2000
0000000000012,1985
0000000000013,1998
0000000000014,2008
0000000000015,1925
0000000000016,2004
0000000000017,2003
0000000000018,1984
0000000000019,1954
0000000000020,1973
0000000000021,1992
0000000000022,1996
0000000000023,1995
0000000000024,1932
0000000000025,1984
0000000000026,1959
0000000000027,1993
0000000000028,1980
0000000000029,2001
0000000000030,1991
0000000000031,1960
0000000000032,1950
0000000000033,1980
0000000000034,2001
0000000000035,2005
0000000000036,2005
0000000000037,1995
0000000000038,1949
0000000000039,2002
0000000000040,1987
0000000000041,2003
0000000000042,1995
0000000000043,1997
0000000000044,1998
0000000000045,1968
0000000000046,1988
0000000000047,1991
0000000000048,1980
0000000000049,1989
0000000000050,1954
0000000000051,1937
0000000000052,2006
0000000000053,1897
0000000000054,1990
0000000000055,1955
